Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Vietnam,"Climate related disasters frequency, Number of Disasters: Storm",2,,1,3,2,1,1,2,2,3,3,4,2,3,1,1,4,3,3,1,7,3,1,1,2,4,6,1,5,3,3,2,3,4,3,2,4,4,4,2,10,5,3
Vietnam,"Climate related disasters frequency, Number of Disasters: TOTAL",3,,1,3,3,2,2,3,2,3,4,7,5,4,3,2,6,4,4,5,11,7,6,4,6,10,11,6,10,6,7,5,4,10,3,5,8,9,7,8,11,8,8
Vietnam,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna Islands,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Wallis and Futuna Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
West Bank and Gaza,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
West Bank and Gaza,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,
West Bank and Gaza,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,
West Bank and Gaza,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,,2,,,,,1,,1
"Yemen, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,1,,1,,,2,,2,1,,1,4,1,,2,2,3,1,,2,,,1,,,1,1,,3,5,2,3
"Yemen, Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,
"Yemen, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,2,,,,
"Yemen, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,1,,1,,,2,,2,1,,3,4,1,,3,2,3,1,1,2,,,1,,2,2,1,2,3,5,2,3
Zambia,"Climate related disasters frequency, Number of Disasters: Drought",,1,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,
Zambia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,1,,,,,,,,,1,,1,1,,2,1,1,,3,1,1,1,1,,1,1,,,,,1,3,,1
Zambia,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Zambia,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,1,,,,,,1,1,,,,,1,,,1,,1,1,,2,1,2,,3,1,1,2,1,,1,1,,,,,2,3,1,1
Zimbabwe,"Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,1,,,1,,,,1,,,,1,
Zimbabwe,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,2,,,1,1,,1,2,,,,,1,,,1
Zimbabwe,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,1,,1,,1,1
Zimbabwe,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,,,,,,,,1,,,,,,,,2,,1,2,,2,,,,4,,,2,1,,2,2,1,1,2,,2,,2,2
